Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,date
1,6,ARMOR GOLDEN EAGLE (K566),Z Purton,M Newnham,123,1059,4,---,4 4 3 1,1:39.59,2.8,2026/04/29
2,12,WITHALLMYFAITH (K428),K Teetan,D A Hayes,118,1237,3,3-3/4,6 6 5 2,1:40.19,5.6,2026/04/29
3,5,FANTASTIC FUN (J364),E Brown,C S Shum,124,1210,6,4-1/2,3 3 1 3,1:40.30,12.0,2026/04/29
4,7,CALIFORNIA MOXIE (J131),A Badel,A S Cruz,122,1148,11,4-3/4,12 12 9 4,1:40.36,12.0,2026/04/29
5,2,KEEFY (G306),K C Leung,F C Lor,134,1155,10,5-3/4,10 9 6 5,1:40.50,19.0,2026/04/29
6,10,VIVA GRACIOUSNESS (J079),P N Wong,A S Cruz,115,1096,1,6-1/4,2 2 4 6,1:40.59,15.0,2026/04/29
7,11,LUCKY TWIN STARS (K126),H Bentley,K W Lui,119,1249,7,6-3/4,9 10 12 7,1:40.68,11.0,2026/04/29
8,9,STORMI (K084),C L Chau,W K Mo,121,1153,12,8,1 1 2 8,1:40.86,27.0,2026/04/29
9,3,CORLEONE (J426),E C W Wong,C Fownes,129,1052,8,8-1/4,8 7 10 9,1:40.91,10.0,2026/04/29
10,4,I CAN (H381),Y L Chung,P C Ng,125,1093,2,9-3/4,7 8 7 10,1:41.14,72.0,2026/04/29
11,1,SOLID WIN (J225),H Bowman,P F Yiu,135,1099,9,10-1/4,11 11 11 11,1:41.23,6.9,2026/04/29
12,8,SPICY GOLD (H440),M Chadwick,J Richards,122,1214,5,37,5 5 8 12,1:45.51,77.0,2026/04/29
